tag_id,r_id,time,row_id
037*099*377,1,17/04/17 00:00,3824724
037*099*377,1,17/04/17 00:00,3824725
840*122*030,3,17/04/17 00:00,3824726
840*122*030,2,17/04/17 00:00,3824727
840*122*030,2,17/04/17 00:00,3824728
034*330*827,1,17/04/17 00:00,3824729
840*122*030,2,17/04/17 00:00,3824730
037*099*377,1,17/04/17 00:00,3824731
034*330*827,5,17/04/17 00:00,3824732
840*122*030,1,17/04/17 00:00,3824733
037*099*377,1,17/04/17 00:01,3824734
840*122*030,1,17/04/17 00:01,3824735
037*099*377,1,17/04/17 00:01,3824736
840*122*030,1,17/04/17 00:01,3824737
052*125*568,1,17/04/17 00:01,3824738
037*099*377,1,17/04/17 00:01,3824739
037*099*377,1,17/04/17 00:02,3824740
840*122*030,1,17/04/17 00:02,3824741
037*099*377,1,17/04/17 00:02,3824742
840*122*030,5,17/04/17 00:02,3824743
840*122*030,5,17/04/17 00:02,3824744
840*122*030,5,17/04/17 00:02,3824745
840*122*030,5,17/04/17 00:02,3824746
037*099*377,1,17/04/17 00:02,3824747
840*122*030,5,17/04/17 00:02,3824748
840*122*030,5,17/04/17 00:02,3824749
840*122*030,5,17/04/17 00:02,3824750
840*122*030,5,17/04/17 00:02,3824751
840*122*030,5,17/04/17 00:02,3824752
037*099*377,1,17/04/17 00:02,3824753
840*122*030,5,17/04/17 00:02,3824754
037*099*377,1,17/04/17 00:02,3824755
840*122*030,5,17/04/17 00:02,3824756
840*122*030,5,17/04/17 00:02,3824757
037*099*377,1,17/04/17 00:03,3824758
840*122*030,5,17/04/17 00:03,3824759
840*122*030,5,17/04/17 00:03,3824760
840*122*030,5,17/04/17 00:03,3824761
037*099*377,1,17/04/17 00:03,3824762
840*122*030,5,17/04/17 00:03,3824763
034*330*827,5,17/04/17 00:03,3824764
034*330*827,1,17/04/17 00:03,3824765
037*099*377,1,17/04/17 00:03,3824766
037*099*377,1,17/04/17 00:03,3824767
034*330*827,1,17/04/17 00:03,3824768
037*099*377,1,17/04/17 00:04,3824769
034*330*827,1,17/04/17 00:04,3824770
037*099*377,5,17/04/17 00:04,3824771
037*099*377,3,17/04/17 00:04,3824772
037*099*377,2,17/04/17 00:04,3824773
037*099*377,2,17/04/17 00:04,3824774
