id,mass,"date","status","rank","teats","f_genitalia"
19,22.80,"2016-04-26",NULL,NULL,NULL,NULL
19,20.50,"2017-01-24",NULL,NULL,NULL,NULL
20,13.50,"2015-05-13",NULL,NULL,NULL,NULL
20,21.00,"2015-11-30",NULL,NULL,NULL,NULL
20,22.10,"2016-01-16",NULL,"19",NULL,NULL
20,23.00,"2016-04-26",NULL,NULL,NULL,NULL
20,21.60,"2017-01-24",NULL,NULL,NULL,NULL
21,13.00,"2015-05-13",NULL,NULL,NULL,NULL
21,19.20,"2015-11-30",NULL,NULL,NULL,NULL
21,20.40,"2016-01-16",NULL,"20",NULL,NULL
21,20.90,"2016-04-26",NULL,NULL,NULL,NULL
21,15.90,"2017-01-24",NULL,NULL,NULL,NULL
22,10.30,"2016-04-26",NULL,NULL,NULL,NULL
22,17.40,"2017-01-24",NULL,NULL,NULL,NULL
23,10.50,"2016-04-26",NULL,NULL,NULL,NULL
23,19.40,"2017-01-24",NULL,NULL,NULL,NULL
24,12.00,"2016-04-26",NULL,NULL,NULL,NULL
24,21.60,"2017-01-24",NULL,NULL,NULL,NULL
25,16.00,"2017-01-24",NULL,NULL,NULL,NULL
26,13.80,"2017-01-24",NULL,NULL,NULL,NULL
27,17.20,"2017-01-24",NULL,NULL,NULL,NULL
28,12.90,"2017-01-24",NULL,NULL,NULL,NULL
